"TXNAME","GENEID"
"AT1G02145.1","AT1G02145"
"AT1G02145.3","AT1G02145"
"AT1G02145.4","AT1G02145"
"AT1G02145_ID294","AT1G02145"
"AT1G02145_ID328","AT1G02145"
"AT1G02145_ID332","AT1G02145"
"AT1G02145_ID334","AT1G02145"
"AT1G02145_ID338","AT1G02145"
"AT1G02145_ID344","AT1G02145"
"AT1G02145_ID354","AT1G02145"
"AT1G02145_ID474","AT1G02145"
"AT1G02145_ID486","AT1G02145"
"AT1G02170_P1","AT1G02170"
"AT1G02205.1","AT1G02205"
"AT1G02205.3","AT1G02205"
"AT1G02205_P2","AT1G02205"
"AT1G02205_P4","AT1G02205"
"AT1G02205_P5","AT1G02205"
"AT1G02300_ID10","AT1G02300"
"AT1G02300_ID11","AT1G02300"
"AT1G02300_ID5","AT1G02300"
"AT1G02300_ID7","AT1G02300"
"AT1G02300_ID8","AT1G02300"
"AT1G02300_JC9","AT1G02300"
"AT1G02300_JS1","AT1G02300"
"AT1G02300_JS2","AT1G02300"
"AT1G02300_P1","AT1G02300"
"AT1G02300_c2","AT1G02300"
"AT1G02300_c3","AT1G02300"
"AT1G02300_s1","AT1G02300"
"AT1G02300_s2","AT1G02300"
"AT1G02300_s3","AT1G02300"
"AT1G02350_c1","AT1G02350"
"AT1G02350_c2","AT1G02350"
"AT1G02350_c3","AT1G02350"
"AT1G02350_c4","AT1G02350"
"AT1G02350_c5","AT1G02350"
"AT1G02440_P1","AT1G02440"
"AT1G02440_P2","AT1G02440"
"AT1G02460_JS1","AT1G02460"
"AT1G02460_P1","AT1G02460"
"AT1G02500.2","AT1G02500"
"AT1G02500_P1","AT1G02500"
"AT1G02530_P1","AT1G02530"
"AT1G02530_P2","AT1G02530"
"AT1G02540.1","AT1G02540"
"AT1G02560_P1","AT1G02560"
"AT1G02610_ID3","AT1G02610"
"AT1G02610_ID4","AT1G02610"
"AT1G02610_ID7","AT1G02610"
"AT1G02610_P1","AT1G02610"
"AT1G02610_P2","AT1G02610"
"AT1G02610_P3","AT1G02610"
"AT1G02610_s1","AT1G02610"
"AT1G02640_P1","AT1G02640"
"AT1G02640_s1","AT1G02640"
"AT1G02650_P1","AT1G02650"
"AT1G02650_P2","AT1G02650"
"AT1G02660_P1","AT1G02660"
"AT1G02680.1","AT1G02680"
"AT1G02680_JS1","AT1G02680"
"AT1G02680_c1","AT1G02680"
"AT1G02680_c2","AT1G02680"
"AT1G02700_ID1","AT1G02700"
"AT1G02700_P1","AT1G02700"
"AT1G02705_P1","AT1G02705"
"AT1G02800_P1","AT1G02800"
"AT1G02820_P1","AT1G02820"
"AT1G02840.2","AT1G02840"
"AT1G02840.3","AT1G02840"
"AT1G02840_CR3","AT1G02840"
"AT1G02840_ID4","AT1G02840"
"AT1G02840_JS2","AT1G02840"
"AT1G02840_JS5","AT1G02840"
"AT1G02840_P1","AT1G02840"
"AT1G02840_P4","AT1G02840"
"AT1G02840_P5","AT1G02840"
"AT1G02840_c2","AT1G02840"
"AT1G02840_c3","AT1G02840"
"AT1G02840_s1","AT1G02840"
"AT1G02840_s2","AT1G02840"
"AT1G02840_s3","AT1G02840"
"AT1G02880.2","AT1G02880"
"AT1G02880_ID11","AT1G02880"
"AT1G02880_ID7","AT1G02880"
"AT1G02880_ID9","AT1G02880"
"AT1G02880_P3","AT1G02880"
"AT1G02880_P5","AT1G02880"
"AT1G02900_P1","AT1G02900"
"AT1G02920_P1","AT1G02920"
"AT1G02930.2","AT1G02930"
"AT1G02930_P1","AT1G02930"
"AT1G02940_c1","AT1G02940"
"AT1G03000_ID4","AT1G03000"
"AT1G03000_JS11","AT1G03000"
"AT1G03000_JS14","AT1G03000"
"AT1G03000_JS8","AT1G03000"
"AT1G03000_JS9","AT1G03000"
"AT1G03000_P1","AT1G03000"
"AT1G03000_c3","AT1G03000"
"AT1G03000_s2","AT1G03000"
"AT1G03000_s3","AT1G03000"
"AT1G03010_JS2","AT1G03010"
"AT1G03010_P1","AT1G03010"
"AT1G03022.1","AT1G03022"
"AT1G03055_ID2","AT1G03055"
"AT1G03055_ID4","AT1G03055"
"AT1G03055_P1","AT1G03055"
"AT1G03055_P2","AT1G03055"
"AT1G03060.1","AT1G03060"
"AT1G03060_JS7","AT1G03060"
"AT1G03060_P2","AT1G03060"
"AT1G03060_P4","AT1G03060"
"AT1G03060_s1","AT1G03060"
"AT1G03060_s2","AT1G03060"
"AT1G03060_s3","AT1G03060"
"AT1G03090_ID10","AT1G03090"
"AT1G03090_ID2","AT1G03090"
"AT1G03090_ID7","AT1G03090"
"AT1G03090_P1","AT1G03090"
"AT1G03090_P2","AT1G03090"
"AT1G03090_c1","AT1G03090"
"AT1G03090_c2","AT1G03090"
"AT1G03090_s1","AT1G03090"
"AT1G03090_s2","AT1G03090"
"AT1G03210_ID2","AT1G03210"
"AT1G03210_ID4","AT1G03210"
"AT1G03210_P1","AT1G03210"
"AT1G03210_P2","AT1G03210"
"AT1G03220_P1","AT1G03220"
"AT1G03230_P1","AT1G03230"
"AT1G03270_ID1","AT1G03270"
"AT1G03270_ID2","AT1G03270"
"AT1G03270_P1","AT1G03270"
"AT1G03270_s2","AT1G03270"
"AT1G03290.1","AT1G03290"
"AT1G03290.2","AT1G03290"
"AT1G03290_ID2","AT1G03290"
"AT1G03290_ID3","AT1G03290"
"AT1G03290_ID5","AT1G03290"
"AT1G03290_JS2","AT1G03290"
"AT1G03290_JS4","AT1G03290"
"AT1G03290_JS5","AT1G03290"
"AT1G03290_JS6","AT1G03290"
"AT1G03290_P3","AT1G03290"
"AT1G03290_P5","AT1G03290"
"AT1G03290_P6","AT1G03290"
"AT1G03310_P1","AT1G03310"
"AT1G03310_P2","AT1G03310"
"AT1G03350_P1","AT1G03350"
"AT1G03370_P1","AT1G03370"
"AT1G03370_P2","AT1G03370"
"AT1G03380.1","AT1G03380"
"AT1G03380_ID2","AT1G03380"
"AT1G03380_JS1","AT1G03380"
"AT1G03380_c1","AT1G03380"
"AT1G03410.1","AT1G03410"
"AT1G03410_c1","AT1G03410"
"AT1G03410_s1","AT1G03410"
"AT1G03440_P1","AT1G03440"
"AT1G03457_ID3","AT1G03457"
"AT1G03457_JS1","AT1G03457"
"AT1G03457_P1","AT1G03457"
"AT1G03457_P2","AT1G03457"
"AT1G03457_s1","AT1G03457"
"AT1G03490.1","AT1G03490"
"AT1G03495_P1","AT1G03495"
"AT1G03540_P1","AT1G03540"
"AT1G03550.1","AT1G03550"
"AT1G03550_ID16","AT1G03550"
"AT1G03550_ID17","AT1G03550"
"AT1G03550_ID19","AT1G03550"
"AT1G03550_ID22","AT1G03550"
"AT1G03550_ID23","AT1G03550"
"AT1G03550_ID26","AT1G03550"
"AT1G03550_ID31","AT1G03550"
"AT1G03550_ID37","AT1G03550"
"AT1G03550_ID87","AT1G03550"
"AT1G03550_ID93","AT1G03550"
"AT1G03550_P4","AT1G03550"
"AT1G03600_P1","AT1G03600"
"AT1G03630.2","AT1G03630"
"AT1G03630_P1","AT1G03630"
"AT1G03630_c1","AT1G03630"
"AT1G03670.1","AT1G03670"
"AT1G03687.2","AT1G03687"
"AT1G03687_ID1","AT1G03687"
"AT1G03687_JS4","AT1G03687"
"AT1G03687_P1","AT1G03687"
"AT1G03687_c1","AT1G03687"
"AT1G03740_ID5","AT1G03740"
"AT1G03740_P1","AT1G03740"
"AT1G03740_P2","AT1G03740"
"AT1G03740_c1","AT1G03740"
"AT1G03770.1","AT1G03770"
"AT1G03770.2","AT1G03770"
"AT1G03770.3","AT1G03770"
"AT1G03770_ID1","AT1G03770"
"AT1G03770_ID2","AT1G03770"
"AT1G03770_ID8","AT1G03770"
"AT1G03870_P1","AT1G03870"
"AT1G03905_JS2","AT1G03905"
"AT1G03905_P1","AT1G03905"
"AT1G03905_P2","AT1G03905"
"AT1G03905_P3","AT1G03905"
"AT1G03905_P4","AT1G03905"
"AT1G03940_P1","AT1G03940"
"AT1G04010_ID2","AT1G04010"
"AT1G04010_ID3","AT1G04010"
"AT1G04010_ID4","AT1G04010"
"AT1G04010_JC6","AT1G04010"
"AT1G04010_JC8","AT1G04010"
"AT1G04010_JS1","AT1G04010"
"AT1G04010_JS4","AT1G04010"
"AT1G04010_P1","AT1G04010"
"AT1G04040_P1","AT1G04040"
"AT1G04080.3","AT1G04080"
"AT1G04080_ID2","AT1G04080"
"AT1G04080_JC6","AT1G04080"
"AT1G04080_P1","AT1G04080"
"AT1G04080_P4","AT1G04080"
"AT1G04080_P5","AT1G04080"
"AT1G04080_c1","AT1G04080"
"AT1G04080_c2","AT1G04080"
"AT1G04080_c3","AT1G04080"
"AT1G04080_s2","AT1G04080"
"AT1G04080_s3","AT1G04080"
"AT1G04080_s4","AT1G04080"
"AT1G04171.1","AT1G04171"
"AT1G04200_JS1","AT1G04200"
"AT1G04200_JS2","AT1G04200"
"AT1G04200_P1","AT1G04200"
"AT1G04200_P2","AT1G04200"
"AT1G04200_c2","AT1G04200"
"AT1G04200_s1","AT1G04200"
"AT1G04240.1","AT1G04240"
"AT1G04240_ID2","AT1G04240"
"AT1G04240_ID3","AT1G04240"
"AT1G04250_P1","AT1G04250"
"AT1G04280_JC2","AT1G04280"
"AT1G04280_JS3","AT1G04280"
"AT1G04280_P1","AT1G04280"
"AT1G04280_P2","AT1G04280"
"AT1G04280_c2","AT1G04280"
"AT1G04300.2","AT1G04300"
"AT1G04300.3","AT1G04300"
"AT1G04300.4","AT1G04300"
"AT1G04300_ID38","AT1G04300"
"AT1G04300_ID41","AT1G04300"
"AT1G04300_ID66","AT1G04300"
"AT1G04300_ID71","AT1G04300"
"AT1G04300_P1","AT1G04300"
"AT1G04300_P5","AT1G04300"
"AT1G04300_c1","AT1G04300"
"AT1G04310_P1","AT1G04310"
"AT1G04310_c1","AT1G04310"
"AT1G04310_c2","AT1G04310"
"AT1G04360_P1","AT1G04360"
"AT1G04360_c1","AT1G04360"
"AT1G04390.1","AT1G04390"
"AT1G04390_JC10","AT1G04390"
"AT1G04390_JS2","AT1G04390"
"AT1G04390_JS4","AT1G04390"
"AT1G04390_P1","AT1G04390"
"AT1G04390_c3","AT1G04390"
"AT1G04390_c5","AT1G04390"
"AT1G04390_s1","AT1G04390"
"AT1G04390_s2","AT1G04390"
"AT1G04390_s3","AT1G04390"
"AT1G04390_s4","AT1G04390"
"AT1G04420_P1","AT1G04420"
"AT1G04420_c1","AT1G04420"
"AT1G04490_P1","AT1G04490"
"AT1G04490_P3","AT1G04490"
"AT1G04490_P4","AT1G04490"
"AT1G04490_P5","AT1G04490"
"AT1G04490_P6","AT1G04490"
"AT1G04490_P7","AT1G04490"
"AT1G04490_P8","AT1G04490"
"AT1G04490_P9","AT1G04490"
"AT1G04490_c1","AT1G04490"
"AT1G04550.1","AT1G04550"
"AT1G04550_ID5","AT1G04550"
"AT1G04550_ID7","AT1G04550"
"AT1G04550_ID9","AT1G04550"
"AT1G04550_JS1","AT1G04550"
"AT1G04550_P2","AT1G04550"
"AT1G04550_s1","AT1G04550"
"AT1G04570_P1","AT1G04570"
"AT1G04570_P2","AT1G04570"
"AT1G04720.1","AT1G04720"
"AT1G04810_ID2","AT1G04810"
"AT1G04810_P1","AT1G04810"
"AT1G04810_c1","AT1G04810"
"AT1G04920_P1","AT1G04920"
"AT1G04930.2","AT1G04930"
"AT1G04930_P1","AT1G04930"
"AT1G04930_P3","AT1G04930"
"AT1G04950_ID3","AT1G04950"
"AT1G04950_ID4","AT1G04950"
"AT1G04950_P1","AT1G04950"
"AT1G04950_P2","AT1G04950"
"AT1G04950_P3","AT1G04950"
"AT1G04950_s1","AT1G04950"
"AT1G04980_P1","AT1G04980"
"AT1G04990.1","AT1G04990"
"AT1G04990_ID2","AT1G04990"
"AT1G04990_P4","AT1G04990"
"AT1G04990_P5","AT1G04990"
"AT1G04990_P6","AT1G04990"
"AT1G05000_ID4","AT1G05000"
"AT1G05000_P1","AT1G05000"
"AT1G05000_P2","AT1G05000"
"AT1G05000_P3","AT1G05000"
"AT1G05010_P1","AT1G05010"
"AT1G05020_P1","AT1G05020"
"AT1G05065_P1","AT1G05065"
"AT1G05090.1","AT1G05090"
"AT1G05090_ID1","AT1G05090"
"AT1G05090_ID2","AT1G05090"
"AT1G05090_ID3","AT1G05090"
"AT1G05090_ID4","AT1G05090"
"AT1G05090_ID5","AT1G05090"
"AT1G05090_ID6","AT1G05090"
"AT1G05090_s1","AT1G05090"
"AT1G05120_P2","AT1G05120"
"AT1G05120_c1","AT1G05120"
"AT1G05120_s1","AT1G05120"
"AT1G05120_s2","AT1G05120"
"AT1G05135.1","AT1G05135"
"AT1G05160.1","AT1G05160"
"AT1G05160_ID11","AT1G05160"
"AT1G05160_ID12","AT1G05160"
"AT1G05160_ID3","AT1G05160"
"AT1G05160_ID4","AT1G05160"
"AT1G05160_JC4","AT1G05160"
"AT1G05230.3","AT1G05230"
"AT1G05230.4","AT1G05230"
"AT1G05230_ID4","AT1G05230"
"AT1G05230_ID6","AT1G05230"
"AT1G05230_ID8","AT1G05230"
"AT1G05230_JC3","AT1G05230"
"AT1G05230_P1","AT1G05230"
"AT1G05230_P10","AT1G05230"
"AT1G05230_P11","AT1G05230"
"AT1G05230_P12","AT1G05230"
"AT1G05230_P2","AT1G05230"
"AT1G05230_P5","AT1G05230"
"AT1G05230_P6","AT1G05230"
"AT1G05230_P7","AT1G05230"
"AT1G05320.2","AT1G05320"
"AT1G05320_P1","AT1G05320"
"AT1G05320_P3","AT1G05320"
"AT1G05320_P4","AT1G05320"
"AT1G05320_P5","AT1G05320"
"AT1G05320_P6","AT1G05320"
"AT1G05320_P7","AT1G05320"
"AT1G05320_P8","AT1G05320"
"AT1G05320_P9","AT1G05320"
"AT1G05320_c2","AT1G05320"
"AT1G05320_c3","AT1G05320"
"AT1G05320_s1","AT1G05320"
"AT1G05360_ID3","AT1G05360"
"AT1G05360_ID4","AT1G05360"
"AT1G05360_JC9","AT1G05360"
"AT1G05360_JS2","AT1G05360"
"AT1G05360_P1","AT1G05360"
"AT1G05360_c2","AT1G05360"
"AT1G05360_s1","AT1G05360"
"AT1G05360_s2","AT1G05360"
"AT1G05380.1","AT1G05380"
"AT1G05380.2","AT1G05380"
"AT1G05380_P3","AT1G05380"
"AT1G05380_s1","AT1G05380"
"AT1G05550.3","AT1G05550"
"AT1G05562.1","AT1G05562"
"AT1G05575_P1","AT1G05575"
"AT1G05600.1","AT1G05600"
"AT1G05600.2","AT1G05600"
"AT1G05600_P2","AT1G05600"
"AT1G05630_P1","AT1G05630"
"AT1G05630_P2","AT1G05630"
"AT1G05630_P3","AT1G05630"
"AT1G05650_P1","AT1G05650"
"AT1G05675_P1","AT1G05675"
"AT1G05710.5","AT1G05710"
"AT1G05710_ID3","AT1G05710"
"AT1G05710_JC1","AT1G05710"
"AT1G05710_JS1","AT1G05710"
"AT1G05710_JS2","AT1G05710"
"AT1G05710_P1","AT1G05710"
"AT1G05710_P10","AT1G05710"
"AT1G05710_P11","AT1G05710"
"AT1G05710_P12","AT1G05710"
"AT1G05710_P13","AT1G05710"
"AT1G05710_P2","AT1G05710"
"AT1G05710_P3","AT1G05710"
"AT1G05710_P4","AT1G05710"
"AT1G05710_P6","AT1G05710"
"AT1G05710_P7","AT1G05710"
"AT1G05710_P8","AT1G05710"
"AT1G05710_P9","AT1G05710"
"AT1G05710_c2","AT1G05710"
"AT1G05710_s2","AT1G05710"
"AT1G05805_ID1","AT1G05805"
"AT1G05805_ID3","AT1G05805"
"AT1G05805_ID4","AT1G05805"
"AT1G05805_P1","AT1G05805"
"AT1G05805_c1","AT1G05805"
"AT1G05830.2","AT1G05830"
"AT1G05830_ID3","AT1G05830"
"AT1G05830_ID4","AT1G05830"
"AT1G05830_ID6","AT1G05830"
"AT1G05830_JC5","AT1G05830"
"AT1G05830_JS12","AT1G05830"
"AT1G05830_JS17","AT1G05830"
"AT1G05830_JS4","AT1G05830"
"AT1G05830_JS6","AT1G05830"
"AT1G05830_P1","AT1G05830"
"AT1G05830_P3","AT1G05830"
"AT1G05830_P4","AT1G05830"
"AT1G05830_c1","AT1G05830"
"AT1G05840_ID1","AT1G05840"
"AT1G05840_ID6","AT1G05840"
"AT1G05840_ID7","AT1G05840"
"AT1G05840_P1","AT1G05840"
"AT1G05860_JS1","AT1G05860"
"AT1G05860_P1","AT1G05860"
"AT1G05860_P2","AT1G05860"
"AT1G05950_ID12","AT1G05950"
"AT1G05950_ID8","AT1G05950"
"AT1G05950_ID9","AT1G05950"
"AT1G05950_JC18","AT1G05950"
"AT1G05950_JC25","AT1G05950"
"AT1G05950_JS1","AT1G05950"
"AT1G05950_JS2","AT1G05950"
"AT1G05950_JS3","AT1G05950"
"AT1G05950_P1","AT1G05950"
"AT1G05950_P2","AT1G05950"
"AT1G05950_P3","AT1G05950"
"AT1G05950_P4","AT1G05950"
"AT1G06000.1","AT1G06000"
"AT1G06010_P1","AT1G06010"
"AT1G06010_s1","AT1G06010"
"AT1G06040.2","AT1G06040"
"AT1G06040_ID1","AT1G06040"
"AT1G06040_P1","AT1G06040"
"AT1G06040_c1","AT1G06040"
"AT1G06040_c2","AT1G06040"
"AT1G06040_c3","AT1G06040"
"AT1G06100_P1","AT1G06100"
"AT1G06140_c1","AT1G06140"
"AT1G06145_ID1","AT1G06145"
"AT1G06220_ID2","AT1G06220"
"AT1G06220_ID4","AT1G06220"
"AT1G06220_P1","AT1G06220"
"AT1G06220_P2","AT1G06220"
"AT1G06220_P3","AT1G06220"
"AT1G06230_JS4","AT1G06230"
"AT1G06230_P1","AT1G06230"
"AT1G06230_P2","AT1G06230"
"AT1G06230_P3","AT1G06230"
"AT1G06230_P4","AT1G06230"
"AT1G06230_s1","AT1G06230"
"AT1G06250.1","AT1G06250"
"AT1G06250_ID2","AT1G06250"
"AT1G06260.1","AT1G06260"
"AT1G06360_P2","AT1G06360"
"AT1G06390_ID11","AT1G06390"
"AT1G06390_ID12","AT1G06390"
"AT1G06390_ID8","AT1G06390"
"AT1G06390_P1","AT1G06390"
"AT1G06390_P2","AT1G06390"
"AT1G06440_P1","AT1G06440"
"AT1G06460_P1","AT1G06460"
"AT1G06475_P1","AT1G06475"
"AT1G06500.1","AT1G06500"
"AT1G06500.2","AT1G06500"
"AT1G06500_ID2","AT1G06500"
"AT1G06500_ID4","AT1G06500"
"AT1G06515.1","AT1G06515"
"AT1G06515.2","AT1G06515"
"AT1G06515_ID2","AT1G06515"
"AT1G06540.1","AT1G06540"
"AT1G06550_ID10","AT1G06550"
"AT1G06550_ID16","AT1G06550"
"AT1G06550_P1","AT1G06550"
"AT1G06550_c1","AT1G06550"
"AT1G06570.1","AT1G06570"
"AT1G06570.2","AT1G06570"
"AT1G06590_JS11","AT1G06590"
"AT1G06590_JS12","AT1G06590"
"AT1G06590_JS5","AT1G06590"
"AT1G06590_P1","AT1G06590"
"AT1G06590_s1","AT1G06590"
"AT1G06620_P1","AT1G06620"
"AT1G06620_P2","AT1G06620"
"AT1G06620_s1","AT1G06620"
"AT1G06640_P1","AT1G06640"
"AT1G06645.1","AT1G06645"
"AT1G06645_ID1","AT1G06645"
"AT1G06645_ID2","AT1G06645"
"AT1G06645_ID3","AT1G06645"
"AT1G06690.1","AT1G06690"
"AT1G06690_ID2","AT1G06690"
"AT1G06690_s1","AT1G06690"
"AT1G06760_P1","AT1G06760"
"AT1G06910_ID2","AT1G06910"
"AT1G06910_P1","AT1G06910"
"AT1G06980_P1","AT1G06980"
"AT1G07000_P1","AT1G07000"
"AT1G07010.2","AT1G07010"
"AT1G07010.3","AT1G07010"
"AT1G07010_ID1","AT1G07010"
"AT1G07010_P1","AT1G07010"
"AT1G07050_P2","AT1G07050"
"AT1G07050_c1","AT1G07050"
"AT1G07060_P2","AT1G07060"
"AT1G07060_P3","AT1G07060"
"AT1G07080_P1","AT1G07080"
"AT1G07110_ID15","AT1G07110"
"AT1G07110_ID6","AT1G07110"
"AT1G07110_JS3","AT1G07110"
"AT1G07110_JS4","AT1G07110"
"AT1G07110_P1","AT1G07110"
"AT1G07110_c2","AT1G07110"
"AT1G07135_P1","AT1G07135"
"AT1G07135_s1","AT1G07135"
"AT1G07135_s2","AT1G07135"
"AT1G07150.2","AT1G07150"
"AT1G07150_P1","AT1G07150"
"AT1G07160_P1","AT1G07160"
"AT1G07180_P1","AT1G07180"
"AT1G07220_ID2","AT1G07220"
"AT1G07220_P1","AT1G07220"
"AT1G07240_ID1","AT1G07240"
"AT1G07240_P1","AT1G07240"
"AT1G07280.2","AT1G07280"
"AT1G07280_ID2","AT1G07280"
"AT1G07280_P1","AT1G07280"
"AT1G07280_P3","AT1G07280"
"AT1G07280_P4","AT1G07280"
"AT1G07280_s1","AT1G07280"
"AT1G07350_JC5","AT1G07350"
"AT1G07350_JC6","AT1G07350"
"AT1G07350_JS3","AT1G07350"
"AT1G07350_P1","AT1G07350"
"AT1G07350_P2","AT1G07350"
"AT1G07350_P4","AT1G07350"
"AT1G07350_P5","AT1G07350"
"AT1G07350_c1","AT1G07350"
"AT1G07350_s1","AT1G07350"
"AT1G07370_P1","AT1G07370"
"AT1G07390.3","AT1G07390"
"AT1G07390_P2","AT1G07390"
"AT1G07390_P4","AT1G07390"
"AT1G07390_P5","AT1G07390"
"AT1G07420.2","AT1G07420"
"AT1G07420_ID2","AT1G07420"
"AT1G07420_ID3","AT1G07420"
"AT1G07420_JS1","AT1G07420"
"AT1G07420_P1","AT1G07420"
"AT1G07420_s1","AT1G07420"
"AT1G07440.2","AT1G07440"
