"TXNAME","GENEIND"
"AT1G02070_ID2","AT1G02070"
"AT1G02074.1","AT1G02074"
"AT1G02080.1","AT1G02080"
"AT1G02080_P2","AT1G02080"
"AT1G02080_P3","AT1G02080"
"AT1G02090_P1","AT1G02090"
"AT1G02090_P2","AT1G02090"
"AT1G02090_P3","AT1G02090"
"AT1G02100.1","AT1G02100"
"AT1G02100_ID161","AT1G02100"
"AT1G02100_ID163","AT1G02100"
"AT1G02100_ID164","AT1G02100"
"AT1G02100_ID165","AT1G02100"
"AT1G02100_ID166","AT1G02100"
"AT1G02100_ID167","AT1G02100"
"AT1G02100_ID168","AT1G02100"
"AT1G02100_ID169","AT1G02100"
"AT1G02100_ID170","AT1G02100"
"AT1G02100_ID172","AT1G02100"
"AT1G02100_ID173","AT1G02100"
"AT1G02100_ID174","AT1G02100"
"AT1G02100_ID175","AT1G02100"
"AT1G02100_ID176","AT1G02100"
"AT1G02100_ID178","AT1G02100"
"AT1G02100_ID185","AT1G02100"
"AT1G02100.2","AT1G02100"
"AT1G02110.1","AT1G02110"
"AT1G02120.1","AT1G02120"
"AT1G02120_ID34","AT1G02120"
"AT1G02120_ID36","AT1G02120"
"AT1G02120_ID46","AT1G02120"
"AT1G02120_ID47","AT1G02120"
"AT1G02120_ID48","AT1G02120"
"AT1G02120_ID8","AT1G02120"
"AT1G02130_P1","AT1G02130"
"AT1G02136.1","AT1G02136"
"AT1G02140_P1","AT1G02140"
"AT1G02145.1","AT1G02145"
"AT1G02145.3","AT1G02145"
"AT1G02145.4","AT1G02145"
"AT1G02145_ID294","AT1G02145"
"AT1G02145_ID328","AT1G02145"
"AT1G02145_ID332","AT1G02145"
"AT1G02145_ID334","AT1G02145"
"AT1G02145_ID338","AT1G02145"
"AT1G02145_ID344","AT1G02145"
"AT1G02145_ID354","AT1G02145"
"AT1G02145_ID474","AT1G02145"
"AT1G02145_ID486","AT1G02145"
"AT1G02150_P1","AT1G02150"
"AT1G02160_P1","AT1G02160"
"AT1G02160_P2","AT1G02160"
"AT1G02170_P1","AT1G02170"
"AT1G02180_P1","AT1G02180"
"AT1G02190_P1","AT1G02190"
"AT1G02190_ID2","AT1G02190"
"AT1G02190.2","AT1G02190"
"AT1G02205_P2","AT1G02205"
"AT1G02205_P4","AT1G02205"
"AT1G02205.3","AT1G02205"
"AT1G02205.1","AT1G02205"
"AT1G02205_P5","AT1G02205"
"AT1G02210.1","AT1G02210"
"AT1G02220_P1","AT1G02220"
"AT1G02220_c1","AT1G02220"
"AT1G02220_JC1","AT1G02220"
"AT1G02220_ID4","AT1G02220"
"AT1G02228.1","AT1G02228"
"AT1G02230_P1","AT1G02230"
"AT1G02250_P1","AT1G02250"
"AT1G02260_P1","AT1G02260"
"AT1G02260_P2","AT1G02260"
"AT1G02270_P1","AT1G02270"
"AT1G02270_P2","AT1G02270"
"AT1G02280_P1","AT1G02280"
"AT1G02280_P2","AT1G02280"
"AT1G02280_ID11","AT1G02280"
"AT1G02280_ID15","AT1G02280"
"AT1G02290_P1","AT1G02290"
"AT1G02300_s1","AT1G02300"
"AT1G02300_P1","AT1G02300"
"AT1G02300_s2","AT1G02300"
"AT1G02300_JS1","AT1G02300"
"AT1G02300_s3","AT1G02300"
"AT1G02300_JS2","AT1G02300"
"AT1G02300_c2","AT1G02300"
"AT1G02300_c3","AT1G02300"
"AT1G02300_ID10","AT1G02300"
"AT1G02300_ID11","AT1G02300"
"AT1G02300_ID5","AT1G02300"
"AT1G02300_ID7","AT1G02300"
"AT1G02300_ID8","AT1G02300"
"AT1G02300_JC9","AT1G02300"
"AT1G02305.1","AT1G02305"
"AT1G02310_ID2","AT1G02310"
"AT1G02310_P2","AT1G02310"
"AT1G02320.1","AT1G02320"
"AT1G02330.1","AT1G02330"
"AT1G02335_P1","AT1G02335"
"AT1G02340_P1","AT1G02340"
"AT1G02340_P2","AT1G02340"
"AT1G02340_c1","AT1G02340"
"AT1G02350_c1","AT1G02350"
"AT1G02350_c2","AT1G02350"
"AT1G02350_c3","AT1G02350"
"AT1G02350_c4","AT1G02350"
"AT1G02350_c5","AT1G02350"
"AT1G02360_P3","AT1G02360"
"AT1G02360_ID2","AT1G02360"
"AT1G02370_P1","AT1G02370"
"AT1G02380_P1","AT1G02380"
"AT1G02390_P1","AT1G02390"
"AT1G02391.1","AT1G02391"
"AT1G02400_P1","AT1G02400"
"AT1G02400_s1","AT1G02400"
"AT1G02400_P2","AT1G02400"
"AT1G02405_P1","AT1G02405"
"AT1G02410_JS1","AT1G02410"
"AT1G02410_JS2","AT1G02410"
"AT1G02410_P1","AT1G02410"
"AT1G02410_c1","AT1G02410"
"AT1G02410_P3","AT1G02410"
"AT1G02420_P1","AT1G02420"
"AT1G02430_ID1","AT1G02430"
"AT1G02430_ID4","AT1G02430"
"AT1G02430_P1","AT1G02430"
"AT1G02430_P2","AT1G02430"
"AT1G02440_P2","AT1G02440"
"AT1G02440_P1","AT1G02440"
"AT1G02450_P1","AT1G02450"
"AT1G02460_P1","AT1G02460"
"AT1G02460_JS1","AT1G02460"
"AT1G02470.2","AT1G02470"
"AT1G02470.1","AT1G02470"
"AT1G02470_ID16","AT1G02470"
"AT1G02470_ID17","AT1G02470"
"AT1G02470_ID4","AT1G02470"
"AT1G02470_ID9","AT1G02470"
"AT1G02475_P1","AT1G02475"
"AT1G02475_ID16","AT1G02475"
"AT1G02475_ID9","AT1G02475"
"AT1G02480.1","AT1G02480"
"AT1G02490_P1","AT1G02490"
"AT1G02500_P1","AT1G02500"
"AT1G02500.2","AT1G02500"
"AT1G02510.1","AT1G02510"
"AT1G02520_P1","AT1G02520"
"AT1G02520_c1","AT1G02520"
"AT1G02520_P2","AT1G02520"
"AT1G02520_P3","AT1G02520"
"AT1G02530_P1","AT1G02530"
"AT1G02530_P2","AT1G02530"
"AT1G02540.1","AT1G02540"
"AT1G02550.1","AT1G02550"
"AT1G02560_P1","AT1G02560"
"AT1G02570_P1","AT1G02570"
"AT1G02575_P1","AT1G02575"
"AT1G02580_P2","AT1G02580"
"AT1G02580_P1","AT1G02580"
"AT1G02590.1","AT1G02590"
"AT1G02600.1","AT1G02600"
"AT1G02610_P1","AT1G02610"
"AT1G02610_P2","AT1G02610"
"AT1G02610_P3","AT1G02610"
"AT1G02610_s1","AT1G02610"
"AT1G02610_ID3","AT1G02610"
"AT1G02610_ID4","AT1G02610"
"AT1G02610_ID7","AT1G02610"
"AT1G02620_c1","AT1G02620"
"AT1G02620_c2","AT1G02620"
"AT1G02620_P1","AT1G02620"
"AT1G02630_P2","AT1G02630"
"AT1G02630_P1","AT1G02630"
"AT1G02640_P1","AT1G02640"
"AT1G02640_s1","AT1G02640"
"AT1G02650_P1","AT1G02650"
"AT1G02650_P2","AT1G02650"
"AT1G02660_P1","AT1G02660"
"AT1G02670_P1","AT1G02670"
"AT1G02670_P2","AT1G02670"
"AT1G02670_P3","AT1G02670"
"AT1G02670_P5","AT1G02670"
"AT1G02670_P6","AT1G02670"
"AT1G02670_P7","AT1G02670"
"AT1G02680_c1","AT1G02680"
"AT1G02680_JS1","AT1G02680"
"AT1G02680.1","AT1G02680"
"AT1G02680_c2","AT1G02680"
"AT1G02681.1","AT1G02681"
"AT1G02690_P1","AT1G02690"
"AT1G02690.2","AT1G02690"
"AT1G02700_P1","AT1G02700"
"AT1G02700_ID1","AT1G02700"
"AT1G02705_P1","AT1G02705"
"AT1G02710.1","AT1G02710"
"AT1G02720_P1","AT1G02720"
"AT1G02720_P2","AT1G02720"
"AT1G02730_P1","AT1G02730"
"AT1G02740_P1","AT1G02740"
"AT1G02740_c2","AT1G02740"
"AT1G02740_c3","AT1G02740"
"AT1G02740_c4","AT1G02740"
"AT1G02750_P1","AT1G02750"
"AT1G02750.2","AT1G02750"
"AT1G02760.1","AT1G02760"
"AT1G02770_P1","AT1G02770"
"AT1G02780_P1","AT1G02780"
"AT1G02780_JC3","AT1G02780"
"AT1G02790_P1","AT1G02790"
"AT1G02800_P1","AT1G02800"
"AT1G02810_P1","AT1G02810"
"AT1G02813_P1","AT1G02813"
"AT1G02816_JS1","AT1G02816"
"AT1G02816_P1","AT1G02816"
"AT1G02820_P1","AT1G02820"
"AT1G02830_P1","AT1G02830"
"AT1G02840_P1","AT1G02840"
"AT1G02840_P4","AT1G02840"
"AT1G02840_s1","AT1G02840"
"AT1G02840_JS2","AT1G02840"
"AT1G02840_s2","AT1G02840"
"AT1G02840_s3","AT1G02840"
"AT1G02840_c2","AT1G02840"
"AT1G02840.3","AT1G02840"
"AT1G02840_CR3","AT1G02840"
"AT1G02840_P5","AT1G02840"
"AT1G02840_c3","AT1G02840"
"AT1G02840_JS5","AT1G02840"
"AT1G02840_ID4","AT1G02840"
"AT1G02840.2","AT1G02840"
"AT1G02850_P1","AT1G02850"
"AT1G02850_P2","AT1G02850"
"AT1G02850_P3","AT1G02850"
"AT1G02850_P5","AT1G02850"
"AT1G02850_c1","AT1G02850"
"AT1G02850.3","AT1G02850"
"AT1G02850.4","AT1G02850"
"AT1G02850_s1","AT1G02850"
"AT1G02860.1","AT1G02860"
"AT1G02860.2","AT1G02860"
"AT1G02860_ID2","AT1G02860"
"AT1G02860_JS4","AT1G02860"
"AT1G02870_P1","AT1G02870"
"AT1G02880_P5","AT1G02880"
"AT1G02880_ID11","AT1G02880"
"AT1G02880_ID7","AT1G02880"
"AT1G02880_ID9","AT1G02880"
"AT1G02880_P3","AT1G02880"
"AT1G02880.2","AT1G02880"
"AT1G02890_P1","AT1G02890"
"AT1G02890.2","AT1G02890"
"AT1G02900_P1","AT1G02900"
"AT1G02910_JS2","AT1G02910"
"AT1G02910_JS3","AT1G02910"
"AT1G02910_JS4","AT1G02910"
"AT1G02910_JS5","AT1G02910"
"AT1G02910_JC11","AT1G02910"
"AT1G02910_P2","AT1G02910"
"AT1G02910_P1","AT1G02910"
"AT1G02910_ID3","AT1G02910"
"AT1G02910_ID5","AT1G02910"
"AT1G02910_ID8","AT1G02910"
"AT1G02920_P1","AT1G02920"
"AT1G02930_P1","AT1G02930"
"AT1G02930.2","AT1G02930"
"AT1G02940_c1","AT1G02940"
"AT1G02950_P5","AT1G02950"
"AT1G02950.3","AT1G02950"
"AT1G02950_ID2","AT1G02950"
"AT1G02950.4","AT1G02950"
"AT1G02952.1","AT1G02952"
"AT1G02960_JS1","AT1G02960"
"AT1G02960_JS2","AT1G02960"
"AT1G02960_s1","AT1G02960"
"AT1G02960_s2","AT1G02960"
"AT1G02960_s3","AT1G02960"
"AT1G02960_s4","AT1G02960"
"AT1G02960_P1","AT1G02960"
"AT1G02960_P2","AT1G02960"
"AT1G02960_P3","AT1G02960"
"AT1G02960_P4","AT1G02960"
"AT1G02960_P5","AT1G02960"
"AT1G02960_P6","AT1G02960"
"AT1G02960_c1","AT1G02960"
"AT1G02960_ID101","AT1G02960"
"AT1G02960_ID121","AT1G02960"
"AT1G02960_ID125","AT1G02960"
"AT1G02960_ID133","AT1G02960"
"AT1G02960_ID134","AT1G02960"
"AT1G02960_ID137","AT1G02960"
"AT1G02960_ID73","AT1G02960"
"AT1G02960_ID74","AT1G02960"
"AT1G02960_ID77","AT1G02960"
"AT1G02960_ID78","AT1G02960"
"AT1G02960_ID81","AT1G02960"
"AT1G02960_ID85","AT1G02960"
"AT1G02960_ID89","AT1G02960"
"AT1G02960_ID97","AT1G02960"
"AT1G02965.1","AT1G02965"
"AT1G02970_P1","AT1G02970"
"AT1G02980.1","AT1G02980"
"AT1G02990_P4","AT1G02990"
"AT1G02990_P5","AT1G02990"
"AT1G02990_P2","AT1G02990"
"AT1G02990.1","AT1G02990"
"AT1G02990.2","AT1G02990"
"AT1G02990.3","AT1G02990"
"AT1G02990_P6","AT1G02990"
"AT1G03000_s2","AT1G03000"
"AT1G03000_s3","AT1G03000"
"AT1G03000_P1","AT1G03000"
"AT1G03000_c3","AT1G03000"
"AT1G03000_JS11","AT1G03000"
"AT1G03000_JS8","AT1G03000"
"AT1G03000_JS9","AT1G03000"
"AT1G03000_JS14","AT1G03000"
"AT1G03000_ID4","AT1G03000"
"AT1G03010_P1","AT1G03010"
"AT1G03010_JS2","AT1G03010"
"AT1G03020_P1","AT1G03020"
"AT1G03022.1","AT1G03022"
"AT1G03030_c1","AT1G03030"
"AT1G03030_c2","AT1G03030"
"AT1G03030_s1","AT1G03030"
"AT1G03030_ID1","AT1G03030"
"AT1G03030.1","AT1G03030"
"AT1G03030_JS5","AT1G03030"
"AT1G03040.2","AT1G03040"
"AT1G03040.1","AT1G03040"
"AT1G03040_ID3","AT1G03040"
"AT1G03040_c1","AT1G03040"
"AT1G03050_P1","AT1G03050"
"AT1G03055_ID2","AT1G03055"
"AT1G03055_ID4","AT1G03055"
"AT1G03055_P1","AT1G03055"
"AT1G03055_P2","AT1G03055"
"AT1G03060_s1","AT1G03060"
"AT1G03060_s2","AT1G03060"
"AT1G03060_s3","AT1G03060"
"AT1G03060_JS7","AT1G03060"
"AT1G03060_P2","AT1G03060"
"AT1G03060.1","AT1G03060"
"AT1G03060_P4","AT1G03060"
"AT1G03070_P1","AT1G03070"
"AT1G03070_P2","AT1G03070"
"AT1G03070_P3","AT1G03070"
"AT1G03080.1","AT1G03080"
"AT1G03080_P3","AT1G03080"
"AT1G03080_JC3","AT1G03080"
"AT1G03080_JC6","AT1G03080"
"AT1G03080_ID1","AT1G03080"
"AT1G03090_P2","AT1G03090"
"AT1G03090_c1","AT1G03090"
"AT1G03090_c2","AT1G03090"
"AT1G03090_s1","AT1G03090"
"AT1G03090_P1","AT1G03090"
"AT1G03090_ID10","AT1G03090"
"AT1G03090_ID2","AT1G03090"
"AT1G03090_ID7","AT1G03090"
"AT1G03090_s2","AT1G03090"
"AT1G03100_P1","AT1G03100"
"AT1G03100_s1","AT1G03100"
"AT1G03103.1","AT1G03103"
"AT1G03106_P1","AT1G03106"
"AT1G03110_c1","AT1G03110"
"AT1G03110_P1","AT1G03110"
"AT1G03120_P1","AT1G03120"
"AT1G03120_P2","AT1G03120"
"AT1G03130.1","AT1G03130"
"AT1G03140_P1","AT1G03140"
"AT1G03150_P1","AT1G03150"
"AT1G03160_P1","AT1G03160"
"AT1G03160_P3","AT1G03160"
"AT1G03160_P2","AT1G03160"
"AT1G03160_P4","AT1G03160"
"AT1G03165_P1","AT1G03165"
"AT1G03170_P1","AT1G03170"
"AT1G03180_s1","AT1G03180"
"AT1G03180_P1","AT1G03180"
"AT1G03180_P3","AT1G03180"
"AT1G03180_c1","AT1G03180"
"AT1G03180_P2","AT1G03180"
"AT1G03180_P4","AT1G03180"
"AT1G03180_ID10","AT1G03180"
